epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,7348.43,0.81418,0.48254,1.06515,0.42433,0.39519,0.40804,0.26617,1.33713,1.3107,1.37936,0.007426,0.007426,0.007426
80,7440,0.81974,0.47722,1.06398,0.46075,0.39982,0.43146,0.2917,1.30382,1.40042,1.36311,0.007393,0.007393,0.007393
81,7531.95,0.8078,0.4781,1.05957,0.44678,0.4362,0.43992,0.29204,1.31653,1.19919,1.38279,0.00736,0.00736,0.00736
82,7626.48,0.8116,0.47867,1.06157,0.44653,0.44425,0.44036,0.28624,1.34398,1.21302,1.38423,0.007327,0.007327,0.007327
83,7717.63,0.80572,0.47043,1.05715,0.52762,0.39343,0.44955,0.29668,1.32964,1.24608,1.37609,0.007294,0.007294,0.007294
84,7809.94,0.80996,0.47097,1.06053,0.51843,0.38672,0.43759,0.28489,1.35275,1.33661,1.40812,0.007261,0.007261,0.007261
85,7901.26,0.80414,0.46575,1.05789,0.42497,0.40955,0.41513,0.26066,1.38226,1.45057,1.41132,0.007228,0.007228,0.007228
86,7992.94,0.80762,0.47339,1.06034,0.49629,0.39512,0.42853,0.27929,1.32401,1.45507,1.35267,0.007195,0.007195,0.007195
87,8084.33,0.80319,0.47229,1.05161,0.47312,0.39237,0.42639,0.27865,1.3512,1.38452,1.40021,0.007162,0.007162,0.007162
88,8174.88,0.80595,0.4706,1.05446,0.48136,0.38026,0.43923,0.28622,1.34281,1.35191,1.38805,0.007129,0.007129,0.007129
89,8268.44,0.79995,0.46993,1.05542,0.51318,0.37711,0.43772,0.29238,1.34528,1.38074,1.40268,0.007096,0.007096,0.007096
90,8359.47,0.80253,0.46832,1.06254,0.47642,0.38465,0.4185,0.27495,1.3249,1.41579,1.38109,0.007063,0.007063,0.007063
91,8450.49,0.7884,0.45928,1.0516,0.46254,0.38635,0.42058,0.27315,1.3853,1.44476,1.42628,0.00703,0.00703,0.00703
92,8541.9,0.80197,0.46628,1.05513,0.45188,0.41548,0.44335,0.27723,1.36463,1.3643,1.39887,0.006997,0.006997,0.006997
93,8634.07,0.79955,0.46356,1.05601,0.52879,0.40956,0.45964,0.29596,1.34371,1.34613,1.41484,0.006964,0.006964,0.006964
94,8724.95,0.7935,0.46052,1.05244,0.5019,0.41918,0.45787,0.29197,1.32291,1.24577,1.38891,0.006931,0.006931,0.006931
